np;dest;cls;key
1;0;0;аутентификация
1;0;0;авторизация
1;0;0;разработать микросервис
1;0;0;микросервис
1;0;0;реализация веб сервис
1;2;0;seo продвижение
1;0;0;работать с системой контроля версий
1;0;0;фреймворк
1;0;0;оптимизировать интерфейс
1;0;0;разработка интерфейса
1;0;0;интерактивная площадка
1;0;0;интерактивный портал
1;0;0;интерактивная викторина
1;0;0;(?:созда|разработ)[а-я]{2,3} сайт\w*
1;0;0;создать пользовательский интерфейс
1;0;0;интернет магазин
1;0;0;промо-сайт
1;0;0;интернет ресурс
1;0;0;веб ресурс
1;0;0;разработка
1;0;0;\bит\b
1;0;0;\bвеб\b
1;0;0;фронтенд
1;0;0;веб-сервис
1;0;0;веб портал
1;0;0;лэндинг сайт
1;0;0;портал
1;0;0;агрегатор
1;0;0;личный кабинет
1;0;0;онлайн портал
1;0;0;онлайн магазин
1;0;0;онлайн конкурс
1;0;0;онлайн квест
1;0;0;онлайн квиз
1;1;0;цифровой образовательный ресурс
1;0;0;модерниз\w{4,7} сайт\w*
1;0;0;веб-разработка
1;0;0;сопровождение портала
1;1;0;бэкэнд
1;2;0;предоставление хостинга
1;2;0;провести аудит и рефакторинг кода
1;2;0;оптимизировать код
1;1;0;мультимедийные
1;1;0;интеграция
1;0;1;создать пользовательский интерфейс
1;0;1;разработка интерфейса
1;0;1;личный кабинет
1;0;1;оптимизировать интерфейс
1;0;1;разработка интерфейса
1;0;1;дизайн
1;0;1;логотип
1;1;1;мультимедийные
1;1;1;информационная кампания
1;1;1;интеграция
1;0;2;емейл-маркетинг
1;0;2;сопровождение портала
1;0;2;smm-сопровождение
1;0;2;размещение материалов
1;0;2;реклама
1;0;2;размещение информации
1;0;2;контент
1;0;2;маркетинговые услуги
1;0;2;продвижение в социальных сетях
1;0;2;аналитическое сопровождение
1;0;2;контент-маркетинг
1;0;2;рекламные услуги
1;0;2;сетевое издание
1;0;2;онлайн-продажи
1;0;2;ведение соцсетей
1;0;2;маркетинг
1;0;2;веб-аналитика
1;1;2;мультимеди
1;1;2;информационная кампания
1;0;3;актуализация документации
1;0;3;мониторинг/? сми
1;0;3;аналитическое сопровождение
1;0;3;анализировать требования
1;0;3;составить техническое задание
1;1;3;автоматизация процессов
1;1;3;разработать архитектуру приложения
1;1;3;интегрировать внешние сервисы
1;0;3;данные
